Iron, Fe;Carbon, C;Sulfur, S;Silicon, Si;Phosphorous, P;Manganese, Mn;Chromium, Cr;Nickel, Ni;Molybdenum, Mo;Copper, Cu;Density;Hardness, Vickers;Thermal Conductivity;Specific Heat Capacity;CTE, linear;Electrical Resistivity;Elongation at Break;Bulk Modulus;Modulus of Elasticity;Shear Modulus;Poissons Ratio;Tensile Strength, Yield;Tensile Strength, Ultimate
96.595 - 97.72 %;0.43 - 0.48 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;220;NA;NA;NA;NA;NA;160 GPa;NA;80.0 GPa;NA;NA;NA
96.595 - 97.72 %;0.38 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.20 - 0.30 %;0%;7.85 g/cc;319;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;18.2 %;160 GPa;205 GPa;80.0 GPa;0.29;924 MPa;1025 MPa
96.275 - 97.75 %;0.55 - 0.65 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;208;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
>= 96.27 %;<= 0.19 %;<= 0.050 %;0.30 - 0.65 %;<= 0.040 %;0.80 - 1.25 %;0.40 - 0.65 %;<= 0.40 %;0%;0.25 - 0.40 %;7.80 g/cc;NA;NA;NA;NA;NA;>= 19 %;NA;NA;NA;NA;>= 290 MPa;NA
0.30 %;<= 0.0300 %;0%;0.55 %;0%;1.5 %;1.6 %;96.2 %;0%;0%;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96.31 - 97.39 %;0.16 - 0.21 %;<= 0.040 %;0.20 - 0.35 %;<= 0.040 %;0.70 - 0.90 %;0.35 - 0.55 %;0.90 - 1.2 %;0.30 - 0.40 %;0%;7.85 g/cc;350;44.5 W/m-K;0.475 J/g-°C;NA;0.0000245 ohm-cm;14.5 %;160 GPa;205 GPa;80.0 GPa;0.29;601 MPa;1096 MPa
0%;<= 0.0200 %;<= 0.0150 %;<= 0.600 %;<= 0.0250 %;<= 2.00 %;27 %;31 %;3.5 %;1.0 %;8.00 g/cc;NA;11.0 W/m-K @Temperature 20.0 C;0.460 J/g-C @Temperature 20.0 C;13.0 m/m-C @Temperature 30.0 - 50.0 C;0.00000950 ohm-cm @Temperature 20.0 C;>= 10.0 %;NA;174 GPa @Temperature 300 C;NA;0.29;760 - 965 MPa @Strain 0.200 %;>= 795 MPa
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;339;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;16 %;160 GPa;205 GPa;80.0 GPa;0.29;758 MPa;931 MPa
95.855 - 96.98 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.45 - 0.65 %;0.40 - 0.60 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;269;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;20.8 %;160 GPa;205 GPa;80.0 GPa;0.29;585 MPa;896 MPa
95.175 - 96.27 %;0.38 - 0.43 %;<= 0.020 %;0.15 - 0.30 %;<= 0.025 %;0.65 - 0.85 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;384;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -70.0 - 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;12.2 %;159 GPa;200 GPa;78.0 GPa;0.29;860 MPa;1280 MPa
93.67 - 95.35 %;0.070 - 0.13 %;<= 0.050 %;0.15 - 0.30 %;0%;0.40 - 0.70 %;1.0 - 1.45 %;2.95 - 3.55 %;0.080 - 0.15 %;0%;7.85 g/cc;384;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;16 %;160 GPa;200 GPa;80.0 GPa;0.29;1055 MPa;1200 MPa
96.5 - 98.2 %;<= 0.16 %;<= 0.030 %;0.30 - 0.50 %;<= 0.030 %;0.80 - 1.25 %;0.40 - 0.65 %;<= 0.40 %;0%;0.25 - 0.40 %;NA;NA;NA;NA;NA;NA;20 % @Thickness 16.0 mm;NA;NA;NA;NA;>= 345 MPa @Thickness 16.0 - 50.0 mm;NA
0%;0.015 %;<= 0.0150 %;0.30 %;0.012 %;1.5 %;18 %;12 %;2.6 %;0%;NA;160;15.0 W/m-K @Temperature 20.0 °C;NA;NA;NA;35 %;NA;NA;NA;NA;390 MPa @Strain 0.200 %;580 MPa
0%;<= 0.0200 %;<= 0.0200 %;0.40 %;<= 0.0200 %;1.6 %;18.5 %;13 %;2.9 %;<= 0.300 %;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95.015 - 96.48 %;0.37 - 0.44 %;<= 0.020 %;0.15 - 0.30 %;<= 0.025 %;0.60 - 0.95 %;0.65 - 0.95 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;284;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -70.0 - 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;19.7 %;159 GPa;200 GPa;78.0 GPa;0.29;786 MPa;924 MPa
96.435 - 97.88 %;0.37 - 0.44 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.20 - 0.30 %;0%;7.85 g/cc;372;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;16 %;160 GPa;205 GPa;80.0 GPa;0.29;1130 MPa;1225 MPa
96.745 - 98.02 %;0.28 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.40 - 0.60 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;399;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
96.705 - 97.78 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.50 - 0.70 %;0.35 - 0.55 %;0.90 - 1.2 %;0.15 - 0.25 %;0%;7.85 g/cc;218;44.5 W/m-K;0.475 J/g-°C;NA;0.0000245 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
96.54 - 97.67 %;0.48 - 0.53 %;<= 0.045 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;301;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;18.7 %;160 GPa;205 GPa;80.0 GPa;0.29;779 MPa;986 MPa
96.327 - 97.8295 %;0.47 - 0.54 %;<= 0.045 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;384;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;10.3 %;160 GPa;205 GPa;80.0 GPa;0.29;903 MPa;1255 MPa
96.1 - 97.1 %;0.38 - 0.43 %;<= 0.040 %;0.15 - 0.35 %;<= 0.040 %;0.70 - 0.90 %;0.55 - 0.75 %;1.1 - 1.4 %;0%;0%;7.85 g/cc;NA;NA;NA;NA;NA;25 %;NA;NA;NA;NA;520 MPa;790 MPa
94 %;0.10 %;0.010 %;0.25 %;0.010 %;0.55 %;1.2 %;3.33 %;0.12 %;0%;7.86 g/cc;NA;NA;NA;NA;NA;19 %;NA;NA;NA;NA;571 MPa @Strain 0.200 %;907 MPa
96.692 - 98.0795 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;284;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;18.7 %;160 GPa;205 GPa;80.0 GPa;0.29;850 MPa;931 MPa
96.315 - 97.8 %;0.50 - 0.60 %;<= 0.050 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;229;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
95.035 - 96.53 %;0.37 - 0.44 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.55 - 0.90 %;0.65 - 0.95 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;301;44.5 W/m-K;0.475 J/g-°C;10.4 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;NA;159 GPa;200 GPa;78.0 GPa;0.29;NA;NA
96.785 - 98.21 %;0.19 - 0.25 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.64 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;411;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;12.8 %;160 GPa;205 GPa;80.0 GPa;0.29;928 MPa @Strain 0.200 %;1314 MPa
86.37 %;0.13 %;0%;0.20 %;0%;0.25 %;4.2 %;3.4 %;4.25 %;0%;7.86 g/cc;NA;NA;NA;11.2 µm/m-°C @Temperature 21.0 - 204 °C;NA;NA;NA;203 GPa;NA;NA;NA;NA
95.175 - 96.27 %;0.38 - 0.43 %;<= 0.020 %;0.15 - 0.30 %;<= 0.025 %;0.65 - 0.85 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;284;44.5 W/m-K;0.475 J/g-°C;12.3 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;19.7 %;159 GPa;200 GPa;78.0 GPa;0.29;786 MPa;924 MPa
96.435 - 97.88 %;0.37 - 0.44 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.20 - 0.30 %;0%;7.85 g/cc;241;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;22.7 %;160 GPa;205 GPa;80.0 GPa;0.29;605 MPa;800 MPa
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;241;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;22 %;160 GPa;205 GPa;80.0 GPa;0.29;495 MPa;786 MPa
95.745 - 97.18 %;0.17 - 0.23 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.40 - 0.70 %;0.35 - 0.65 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;350;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;16 %;160 GPa;205 GPa;80.0 GPa;0.29;958 MPa;1110 MPa
96.5 - 98.2 %;<= 0.20 %;<= 0.050 %;0.15 - 0.30 %;<= 0.040 %;0.75 - 1.25 %;0.40 - 0.70 %;0.25 - 0.50 %;0%;0.20 - 0.40 %;7.75 g/cc;NA;NA;NA;NA;NA;>= 21 %;NA;205 GPa;80.0 GPa;0.28;>= 290 MPa;NA
96.54 - 97.67 %;0.48 - 0.53 %;<= 0.045 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;384;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;14.6 %;160 GPa;205 GPa;80.0 GPa;0.29;1165 MPa;1225 MPa
>= 96.6 %;<= 0.20 %;<= 0.030 %;0.15 - 0.50 %;<= 0.040 %;0.70 - 1.6 %;<= 0.25 %;<= 0.25 %;<= 0.080 %;<= 0.35 %;7.80 g/cc;NA;NA;NA;NA;NA;>= 18 %;NA;205 GPa;80.0 GPa;0.28;>= 345 MPa;NA
94 %;0.11 %;0.013 %;0.25 %;0.013 %;0.55 %;1.2 %;3.3 %;0.12 %;0%;7.86 g/cc;349;NA;NA;NA;NA;15 %;NA;NA;NA;NA;897 MPa @Strain 0.200 %;966 MPa
94.29 %;0.23 %;0.040 %;0.20 - 0.40 %;0.035 %;0.40 %;1.5 - 2.0 %;2.6 - 3.25 %;0%;0%;7.80 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;16 %;160 GPa;200 GPa;80.0 GPa;0.29;485 MPa;720 - 795 MPa
95.745 - 97.18 %;0.17 - 0.23 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.40 - 0.70 %;0.35 - 0.65 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;440;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;11.8 %;160 GPa;205 GPa;80.0 GPa;0.29;1125 MPa;1460 MPa
96.695 - 98.08 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;196;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;26.2 %;160 GPa;205 GPa;80.0 GPa;0.29;425 MPa;640 MPa
96.54 - 97.67 %;0.48 - 0.53 %;<= 0.045 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;339;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;17.8 %;160 GPa;205 GPa;80.0 GPa;0.29;1040 MPa;1060 MPa
94.9 - 96 %;0.31 - 0.38 %;<= 0.040 %;0.20 - 0.35 %;<= 0.035 %;0.60 - 0.80 %;0.65 - 0.90 %;1.65 - 2.0 %;0.30 - 0.40 %;0%;7.87 g/cc;NA;NA;NA;NA;NA;NA;NA;205 GPa;80.0 GPa;0.28;NA;NA
95.855 - 96.98 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.45 - 0.65 %;0.40 - 0.60 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;372;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;16 %;160 GPa;205 GPa;80.0 GPa;0.29;1015 MPa;1180 MPa
96.33 - 97.83 %;0.47 - 0.54 %;<= 0.045 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;223;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;22.5 %;160 GPa;205 GPa;80.0 GPa;0.29;1076 MPa;1255 MPa
95.195 - 96.33 %;0.37 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.60 - 0.80 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;411;44.5 W/m-K;0.475 J/g-°C;12.3 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;12.1 %;159 GPa;200 GPa;78.0 GPa;0.29;972 MPa;1448 MPa
96.35 %;0.70 %;0%;0.25 %;0%;0.60 %;0.70 %;1.4 %;0%;0%;7.86 g/cc;NA;34.6 W/m-K;NA;11.81 µm/m-°C @Temperature 21.0 - 149 °C;NA;NA;NA;207 GPa;NA;NA;NA;NA
97 %;0.32 %;0.0050 %;0.35 %;0.025 %;0.40 %;1.2 %;0.35 %;0.30 %;0%;NA;NA;NA;NA;NA;NA;14 %;NA;NA;NA;NA;1400 MPa @Strain 0.200 %;NA
96.72 - 98.16 %;0.24 - 0.30 %;<= 0.045 %;0.15 - 0.30 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;211;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
96.21 - 97.65 %;0.15 - 0.21 %;<= 0.040 %;0.15 - 0.30 %;<= 0.040 %;0.60 - 0.95 %;0.30 - 0.60 %;0.85 - 1.25 %;0.30 - 0.40 %;0%;7.85 g/cc;339;44.5 W/m-K;0.475 J/g-°C;NA;0.0000245 ohm-cm;17.8 %;160 GPa;205 GPa;80.0 GPa;0.29;714 MPa;1068 MPa
96.31 - 97.39 %;0.16 - 0.21 %;<= 0.040 %;0.20 - 0.35 %;<= 0.040 %;0.70 - 0.90 %;0.35 - 0.55 %;0.90 - 1.2 %;0.30 - 0.40 %;0%;7.85 g/cc;361;44.5 W/m-K;0.475 J/g-°C;NA;0.0000245 ohm-cm;9.6 %;160 GPa;205 GPa;80.0 GPa;0.29;735 MPa;1131 MPa
0%;<= 0.0100 %;<= 0.0250 %;0.080 %;<= 0.0400 %;1.5 %;28.5 %;10 %;0%;0%;NA;220;NA;NA;NA;NA;25 %;NA;NA;NA;NA;600 MPa @Strain 0.200 %;720 MPa
96.67 %;0.12 %;0.015 %;0.40 %;0.035 %;0.45 - 0.75 %;0.90 - 1.2 %;0.90 - 1.2 %;0%;0%;7.80 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;20 %;160 GPa;200 GPa;80.0 GPa;0.29;450 MPa;530 - 670 MPa
0%;0.020 %;0.011 %;0.30 %;0.020 %;1.4 %;19.5 %;10 %;0%;0.060 %;NA;160;NA;NA;NA;NA;33 % @Temperature 350 C;NA;NA;NA;NA;250 MPa @Strain 0.200 %, Temperature 350 C;360 MPa @Temperature 350 C
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;155;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;31.3 %;160 GPa;205 GPa;80.0 GPa;0.29;385 MPa;540 MPa
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;247;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
96.745 - 98.22 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;276;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;22.5 %;160 GPa;205 GPa;80.0 GPa;0.29;533 MPa;898 MPa
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;661;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;12.8 %;160 GPa;205 GPa;80.0 GPa;0.29;926 MPa;1250 MPa
>= 93.6 %;<= 0.20 %;<= 0.050 %;<= 0.90 %;0%;<= 1.5 %;<= 0.90 %;<= 1.25 %;<= 0.25 %;<= 1.0 %;7.75 g/cc;NA;NA;NA;NA;NA;>= 16 %;NA;205 GPa;80.0 GPa;0.28;>= 414 MPa;NA
95.27 - 97 %;0.20 - 0.28 %;<= 0.025 %;0.20 - 0.30 %;<= 0.025 %;0.80 - 1.0 %;1.1 - 1.75 %;0.40 - 0.70 %;0.15 - 0.35 %;0.15 - 0.30 %;NA;NA;NA;NA;NA;NA;17.4 %;NA;NA;NA;NA;1320 MPa;NA
0%;<= 0.0200 %;<= 0.0100 %;<= 0.0200 %;<= 0.0150 %;1.7 %;27 %;31 %;3.5 %;1.0 %;7.90 g/cc;160;11.0 W/m-K @Temperature 20.0 C;NA;17.0 m/m-C @Temperature 20.0 - 400 C;NA;35 %;NA;NA;NA;NA;360 MPa @Strain 0.200 %;540 MPa
95.745 - 97.18 %;0.17 - 0.23 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.40 - 0.70 %;0.35 - 0.65 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;350;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;16 %;160 GPa;205 GPa;80.0 GPa;0.29;896 MPa;1080 MPa
93.67 - 95.35 %;0.070 - 0.13 %;<= 0.050 %;0.15 - 0.30 %;0%;0.40 - 0.70 %;1.0 - 1.45 %;2.95 - 3.55 %;0.080 - 0.15 %;0%;7.85 g/cc;384;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;15 %;160 GPa;200 GPa;80.0 GPa;0.29;1010 MPa;1227 MPa
0%;<= 0.200 %;<= 0.00500 %;0%;0%;<= 1.60 %;<= 1.90 %;0.20 %;<= 0.400 %;0%;7.85 g/cc;NA;NA;NA;12.5 µm/m-°C @Temperature 20.0 - 100 °C;NA;12 %;NA;205 GPa;NA;NA;900 MPa @Strain 0.200 %;1200 MPa
93.67 - 95.35 %;0.070 - 0.13 %;<= 0.050 %;0.15 - 0.30 %;0%;0.40 - 0.70 %;1.0 - 1.45 %;2.95 - 3.55 %;0.080 - 0.15 %;0%;7.85 g/cc;284;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;18.8 %;160 GPa;200 GPa;80.0 GPa;0.29;570 MPa;910 MPa
95.175 - 96.27 %;0.38 - 0.43 %;<= 0.020 %;0.15 - 0.30 %;<= 0.025 %;0.65 - 0.85 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;NA;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;12 %;160 GPa;212 GPa;81.5 GPa;0.30;1475 MPa;1595 MPa
95 %;0.14 - 0.21 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.95 - 1.3 %;1.0 - 1.5 %;1.2 - 1.5 %;0.40 - 0.60 %;0%;7.85 g/cc;NA;46.6 W/m-K;0.452 J/g-°C;NA;NA;18 %;160 GPa;205 GPa;80.0 GPa;0.29;690 MPa;828 MPa
96.745 - 98.22 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;188;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;27.8 %;160 GPa;205 GPa;80.0 GPa;0.29;360 MPa;600 MPa
96.625 - 97.75 %;0.40 - 0.45 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;276 @Diameter 102 mm;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;17.2 % @Diameter 25.4 mm;160 GPa;205 GPa;80.0 GPa;0.29;731 MPa @Diameter 102 mm;896 MPa @Diameter 102 mm
95.195 - 96.33 %;0.37 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.60 - 0.80 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;301;44.5 W/m-K;0.475 J/g-°C;10.4 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;20 %;159 GPa;200 GPa;78.0 GPa;0.29;938 MPa;1000 MPa
0%;<= 0.0150 %;<= 0.0200 %;0.20 %;<= 0.0200 %;1.8 %;21 %;11.5 %;<= 0.300 %;<= 0.100 %;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96.327 - 97.8295 %;0.47 - 0.54 %;<= 0.045 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;269 @Diameter 102 mm;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;17.7 % @Diameter 25.4 mm;160 GPa;205 GPa;80.0 GPa;0.29;675 MPa @Diameter 102 mm;869 MPa @Diameter 102 mm
95.015 - 96.48 %;0.37 - 0.44 %;<= 0.020 %;0.15 - 0.30 %;<= 0.025 %;0.60 - 0.95 %;0.65 - 0.95 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;NA;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -70.0 - 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;20 %;160 GPa;213 GPa;82.0 GPa;0.30;938 MPa;1005 MPa
96.54 - 97.67 %;0.48 - 0.53 %;<= 0.045 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;269;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;22 %;160 GPa;205 GPa;80.0 GPa;0.29;675 MPa;869 MPa
95.22 %;0.14 - 0.21 %;0.040 %;0.15 - 0.35 %;0.035 %;0.95 - 1.3 %;1.0 - 1.5 %;1.2 - 1.5 %;0.40 - 0.60 %;0%;7.75 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;14 %;160 GPa;200 GPa;80.0 GPa;0.29;620 MPa;725 - 930 MPa
0%;<= 0.0200 %;<= 0.0150 %;0.40 %;<= 0.0250 %;1.5 %;24 %;17 %;2.8 %;0%;NA;NA;NA;NA;NA;NA;30 %;NA;NA;NA;NA;450 MPa @Strain 0.200 %;650 MPa
97.45 %;0.20 %;0%;0.30 %;0%;0.80 %;0.50 %;0.55 %;0.20 %;0%;7.83 g/cc;NA;NA;NA;NA;NA;NA;NA;207 GPa;NA;NA;NA;NA
95.195 - 96.33 %;0.37 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.60 - 0.80 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;350;44.5 W/m-K;0.475 J/g-°C;12.3 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;15.5 %;159 GPa;200 GPa;78.0 GPa;0.29;1000 MPa;1138 MPa
